M- 278
Integration time: 3000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
173,70;-8,0000
174,30;76,000
174,90;55,000
175,50;64,000
176,10;65,000
176,70;37,000
177,30;89,000
177,90;-17,000
178,50;-1,0000
179,10;55,000
179,70;-21,000
180,30;3,0000
180,89;89,000
181,49;43,000
182,09;111,00
182,69;91,000
183,29;26,000
183,89;45,000
184,49;55,000
185,09;129,00
185,69;-10,0000
186,29;103,00
186,89;9,0000
187,48;37,000
188,08;67,000
188,68;118,00
189,28;-7,0000
189,88;-1,0000
190,48;19,000
191,08;-35,000
191,68;121,00
192,28;-2,0000
192,87;64,000
193,47;47,000
194,07;63,000
194,67;89,000
195,27;93,000
195,87;11,000
196,47;109,00
197,06;70,000
197,66;6,0000
198,26;108,00
198,86;55,000
199,46;-3,0000
200,06;47,000
200,66;75,000
201,25;87,000
201,85;62,000
202,45;126,00
203,05;33,000
203,65;76,000
204,24;21,000
204,84;26,000
205,44;153,00
206,04;117,00
206,64;28,000
207,24;40,000
207,83;34,000
208,43;50,000
209,03;83,000
209,63;45,000
210,22;154,00
210,82;112,00
211,42;20,000
212,02;11,000
212,62;92,000
213,21;58,000
213,81;90,000
214,41;48,000
215,01;85,000
215,60;58,000
216,20;33,000
216,80;-23,000
217,40;34,000
218,00;96,000
218,59;23,000
219,19;109,00
219,79;88,000
220,38;152,00
220,98;113,00
221,58;81,000
222,18;88,000
222,77;139,00
223,37;42,000
223,97;75,000
224,57;143,00
225,16;130,00
225,76;92,000
226,36;130,00
226,95;163,00
227,55;120,00
228,15;93,000
228,75;186,00
229,34;127,00
229,94;122,00
230,54;58,000
231,13;85,000
231,73;111,00
232,33;77,000
232,92;104,00
233,52;69,000
234,12;95,000
234,71;30,000
235,31;119,00
235,91;104,00
236,50;62,000
237,10;76,000
237,70;83,000
238,29;90,000
238,89;169,00
239,49;174,00
240,08;57,000
240,68;126,00
241,28;177,00
241,87;75,000
242,47;134,00
243,06;35,000
243,66;52,000
244,26;40,000
244,85;112,00
245,45;67,000
246,05;68,000
246,64;193,00
247,24;134,00
247,83;254,00
248,43;162,00
249,03;117,00
249,62;194,00
250,22;164,00
250,81;204,00
251,41;161,00
252,01;197,00
252,60;45,000
253,20;173,00
253,79;124,00
254,39;119,00
254,98;127,00
255,58;144,00
256,18;129,00
256,77;73,000
257,37;12,000
257,96;55,000
258,56;86,000
259,15;156,00
259,75;102,00
260,34;76,000
260,94;89,000
261,53;245,00
262,13;145,00
262,73;100,000
263,32;45,000
263,92;15,000
264,51;112,00
265,11;127,00
265,70;122,00
266,30;90,000
266,89;102,00
267,49;48,000
268,08;192,00
268,68;130,00
269,27;-5,0000
269,87;128,00
270,46;210,00
271,06;68,000
271,65;214,00
272,25;127,00
272,84;104,00
273,44;147,00
274,03;59,000
274,62;130,00
275,22;138,00
275,81;67,000
276,41;115,00
277,00;97,000
277,60;124,00
278,19;25,000
278,79;142,00
279,38;36,000
279,98;122,00
280,57;207,00
281,16;212,00
281,76;254,00
282,35;251,00
282,95;252,00
283,54;188,00
284,14;200,00
284,73;289,00
285,32;104,00
285,92;107,00
286,51;50,000
287,11;192,00
287,70;140,00
288,29;164,00
288,89;154,00
289,48;72,000
290,08;185,00
290,67;130,00
291,26;241,00
291,86;73,000
292,45;159,00
293,04;242,00
293,64;250,00
294,23;438,00
294,83;646,00
295,42;1099,0
296,01;1384,0
296,61;1675,0
297,20;2001,0
297,79;1961,0
298,39;1803,0
298,98;1618,0
299,57;1213,0
300,17;883,00
300,76;727,00
301,35;227,00
301,95;152,00
302,54;162,00
303,13;193,00
303,73;153,00
304,32;198,00
304,91;160,00
305,51;165,00
306,10;253,00
306,69;242,00
307,28;237,00
307,88;373,00
308,47;425,00
309,06;556,00
309,66;707,00
310,25;972,00
310,84;1412,0
311,43;1687,0
312,03;2052,0
