M- 
Integration time: 6000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
173,70;70,000
174,30;37,000
174,90;99,000
175,50;119,00
176,10;107,00
176,70;128,00
177,30;29,000
177,90;118,00
178,50;47,000
179,10;90,000
179,70;11,000
180,30;6,0000
180,89;181,00
181,49;129,00
182,09;174,00
182,69;57,000
183,29;92,000
183,89;49,000
184,49;66,000
185,09;-1,0000
185,69;10,0000
186,29;74,000
186,89;-42,000
187,48;-1,0000
188,08;-30,000
188,68;54,000
189,28;71,000
189,88;120,00
190,48;81,000
191,08;140,00
191,68;85,000
192,28;98,000
192,87;130,00
193,47;55,000
194,07;125,00
194,67;71,000
195,27;212,00
195,87;32,000
196,47;6,0000
197,06;129,00
197,66;16,000
198,26;163,00
198,86;-8,0000
199,46;4,0000
200,06;223,00
200,66;48,000
201,25;63,000
201,85;79,000
202,45;98,000
203,05;13,000
203,65;35,000
204,24;110,00
204,84;43,000
205,44;4,0000
206,04;75,000
206,64;21,000
207,24;110,00
207,83;-5,0000
208,43;54,000
209,03;334,00
209,63;119,00
210,22;137,00
210,82;36,000
211,42;52,000
212,02;2,0000
212,62;44,000
213,21;173,00
213,81;160,00
214,41;144,00
215,01;88,000
215,60;45,000
216,20;88,000
216,80;155,00
217,40;22,000
218,00;61,000
218,59;114,00
219,19;90,000
219,79;13,000
220,38;199,00
220,98;31,000
221,58;166,00
222,18;147,00
222,77;-10,0000
223,37;101,00
223,97;138,00
224,57;104,00
225,16;56,000
225,76;22,000
226,36;112,00
226,95;97,000
227,55;173,00
228,15;1,0000
228,75;13,000
229,34;-19,000
229,94;160,00
230,54;123,00
231,13;5,0000
231,73;14,000
232,33;28,000
232,92;65,000
233,52;55,000
234,12;44,000
234,71;88,000
235,31;57,000
235,91;105,00
236,50;136,00
237,10;18,000
237,70;162,00
238,29;100,000
238,89;168,00
239,49;129,00
240,08;45,000
240,68;106,00
241,28;92,000
241,87;-21,000
242,47;93,000
243,06;-13,000
243,66;124,00
244,26;80,000
244,85;96,000
245,45;136,00
246,05;57,000
246,64;268,00
247,24;128,00
247,83;119,00
248,43;144,00
249,03;229,00
249,62;160,00
250,22;-7,0000
250,81;190,00
251,41;-55,000
252,01;-10,0000
252,60;74,000
253,20;55,000
253,79;170,00
254,39;-11,000
254,98;49,000
255,58;85,000
256,18;176,00
256,77;62,000
257,37;139,00
257,96;92,000
258,56;100,000
259,15;320,00
259,75;204,00
260,34;71,000
260,94;38,000
261,53;140,00
262,13;161,00
262,73;17,000
263,32;76,000
263,92;131,00
264,51;168,00
265,11;59,000
265,70;77,000
266,30;8,0000
266,89;93,000
267,49;15,000
268,08;0
268,68;57,000
269,27;86,000
269,87;24,000
270,46;150,00
271,06;45,000
271,65;23,000
272,25;132,00
272,84;132,00
273,44;173,00
274,03;68,000
274,62;108,00
275,22;26,000
275,81;24,000
276,41;60,000
277,00;174,00
277,60;56,000
278,19;56,000
278,79;79,000
279,38;117,00
279,98;46,000
280,57;179,00
281,16;114,00
281,76;80,000
282,35;238,00
282,95;36,000
283,54;65,000
284,14;50,000
284,73;201,00
285,32;109,00
285,92;203,00
286,51;135,00
287,11;138,00
287,70;95,000
288,29;79,000
288,89;125,00
289,48;71,000
290,08;95,000
290,67;103,00
291,26;72,000
291,86;162,00
292,45;89,000
293,04;99,000
293,64;95,000
294,23;173,00
294,83;138,00
295,42;342,00
